,nu_1,nu_2,nu_3,nu_4,nu_5,nu_6,nu_7,nu_8,nu_9,nu_10,nu_11,nu_12,nu_13,nu_14,nu_15,nu_16,nu_17,nu_18,nu_19,nu_20
36441,2.4375900130382233e-21,2.4443304096059096e-13,3.1025164501114277e-09,6.917551604732684e-07,1.7140007860547284e-05,0.00012352988816305665,0.00045867916104783043,0.001229595837468007,0.0027229635643641636,0.005148708775753311,0.008626591360716519,0.013187890599876613,0.01886858634931288,0.025801961520696002,0.03441984241776016,0.0455780293484156,0.06161432689857499,0.08759756306874321,0.1589657201149032,0.5360418381698953
112793,2.0070841285380764e-17,1.7983225900629614e-08,4.619643769262353e-06,0.0002035302643371369,0.0011208391875056915,0.0025933820590595073,0.004844233840374838,0.007438315166319537,0.010129554678313559,0.013120326505841027,0.016631768053632645,0.02089700459958412,0.026149702935474094,0.0327240894606879,0.04124719632788136,0.05289808015161177,0.07006362159773082,0.09859510841865622,0.15817417871992914,0.4435688481715151
37715,1.3040660850634667e-21,1.985472674029394e-12,1.4822680910721266e-08,3.209155485767934e-06,7.014877813519973e-05,0.0004964292134374867,0.0018085213572237727,0.004529804298769081,0.008874324793285681,0.014827760282628562,0.022111635571569647,0.03044403933306422,0.03965265769708232,0.04982208292241645,0.061336016625440054,0.07500760535023121,0.0924423179854291,0.11721698383706206,0.16004714909451562,0.3217104713582182
32961,1.5071242260072288e-13,9.057785481192751e-10,8.391701247459548e-07,9.611986774047517e-05,0.0010890007150474328,0.0037065166951164253,0.007306624702245356,0.011620893050046713,0.016786058515772057,0.02273019993805854,0.029378256387708357,0.03661128062623145,0.04439299395239498,0.05286139266184606,0.06237022083254108,0.07358741068433679,0.08782360975704971,0.10792114679301223,0.1419432749901783,0.30017697869012194
30053,2.192365580123805e-34,1.0811247453724378e-16,2.4045507587622777e-10,2.61403581639669e-07,1.8639561096228974e-05,0.00022613210197509168,0.0011501142996488457,0.0036624058436873276,0.00799049967751048,0.014029291858006455,0.0213035238103775,0.029495654506066546,0.03858382189023974,0.04879470723267633,0.060687843126686895,0.07524274411808562,0.09438450242590897,0.12213345860211286,0.17066571703097877,0.31202521143400996
25005,9.369045238778066e-14,4.601545042386111e-10,3.0000432962257585e-07,2.4824902478703437e-05,0.00033252337811061675,0.001973776544191073,0.005522108096192799,0.009986294131972167,0.015129299437873521,0.020748472699536512,0.026933762936797074,0.03358509353328715,0.040726350711186604,0.04847798183578016,0.05719714916127629,0.06764573833230815,0.08138239642278362,0.10221674306480313,0.14124352295443382,0.3472765458711065
1792,1.8698068521335225e-18,9.17307222758026e-12,6.693016400573198e-08,9.388125313847995e-06,0.00022071789064009384,0.001489889693925674,0.00409647772647546,0.007625901146665061,0.01193208949535235,0.017121652423723283,0.02325733864161478,0.030173072495081093,0.03774862190632507,0.04605250963311785,0.05544851335887725,0.06674596809352451,0.08170444750261585,0.10448566742943305,0.14666565821223573,0.3656237907461575
116674,7.052079473389009e-16,4.559334702931553e-10,3.945660309809106e-06,0.0004132669337353279,0.0033024423810120353,0.007708870399386528,0.011923704661174398,0.01562820537130607,0.019160404650284846,0.022898628547911613,0.02704723390277312,0.031904459650968636,0.037717011116966175,0.0448362802825624,0.053832890854454946,0.06577765208900999,0.08275565776316526,0.10989457941596763,0.1610602506475962,0.30453776745623
118086,2.874740566721801e-24,6.014925717403096e-15,8.562382921705903e-10,1.587934396541633e-06,7.14298073778739e-05,0.0005682232928255153,0.0023535399832676986,0.006402516425808349,0.013055066845054855,0.021828352791591815,0.03189874816260338,0.04263792853085614,0.0537234782730691,0.06508480671483122,0.07694209656304399,0.08979839230361644,0.10465154805489305,0.12343141196806301,0.1517127998130759,0.21623825129349822
31736,1.5565658570171502e-13,3.416314897959212e-08,2.4701895879376647e-05,0.00020926375263993782,0.0008005123653111915,0.0023929581316582084,0.004555490756746316,0.007076650522034177,0.009756263726146026,0.012670327105703585,0.015891809519196227,0.01959113053760656,0.023921055852949326,0.029086180161134557,0.03549738805868879,0.0439393348925715,0.056010323015599425,0.07594727428322154,0.11819196939505357,0.5448491476859758
35968,4.686525047736625e-16,5.6031989921703016e-09,1.824531239401693e-06,8.389763072153612e-05,0.000612062427917738,0.002279735957717397,0.00457651201290748,0.007179761509271891,0.009827967636288758,0.012594104428661065,0.01555625029447414,0.018919651205943376,0.022864050547986074,0.027617333268435185,0.03366544422664981,0.041972158847052334,0.05481745360352956,0.07839734111230534,0.1402180908182936,0.5292286718915676
35549,4.686948157254671e-19,1.5419516567924664e-06,2.52408180120156e-05,0.0008716465357299186,0.00454123353064234,0.011126303323214293,0.018162317927667513,0.0245646077607411,0.028969407875856012,0.032681628230230006,0.03630500424590024,0.04039758417776088,0.04534119131077921,0.051482840997378786,0.059284152705686474,0.06952939362845965,0.08368922553939499,0.10495621461586917,0.14158897780903856,0.2468793410411962
